2019-06-14 19:50:00,21.75 G,318.26 G,463.91 K,1.99 M
2019-06-14 19:50:02,21.75 G,318.26 G,166.27 K,723.42 K
2019-06-14 19:50:04,21.75 G,318.26 G,460.81 K,1.98 M
2019-06-14 19:50:06,21.75 G,318.27 G,445.47 K,1.91 M
2019-06-14 19:50:08,21.76 G,318.27 G,460.34 K,1.97 M
2019-06-14 19:50:10,21.76 G,318.27 G,445.48 K,1.92 M
2019-06-14 19:50:12,21.76 G,318.28 G,459.60 K,1.98 M
2019-06-14 19:50:14,21.76 G,318.28 G,456.97 K,1.95 M
2019-06-14 19:50:16,21.76 G,318.28 G,444.83 K,1.92 M
2019-06-14 19:50:18,21.76 G,318.29 G,489.15 K,2.11 M
2019-06-14 19:50:20,21.76 G,318.29 G,499.08 K,2.13 M
2019-06-14 19:50:22,21.76 G,318.30 G,455.49 K,1.93 M
2019-06-14 19:50:24,21.76 G,318.30 G,125.34 K,549.53 K
2019-06-14 19:50:26,21.76 G,318.30 G,149.97 K,639.62 K
2019-06-14 19:50:28,21.76 G,318.30 G,109.56 K,484.68 K
2019-06-14 19:50:30,21.76 G,318.31 G,458.85 K,1.97 M
2019-06-14 19:50:32,21.76 G,318.31 G,451.35 K,1.93 M
2019-06-14 19:50:34,21.77 G,318.31 G,457.55 K,1.96 M
2019-06-14 19:50:36,21.77 G,318.32 G,440.08 K,1.89 M
2019-06-14 19:50:38,21.77 G,318.32 G,467.45 K,2.01 M
2019-06-14 19:50:40,21.77 G,318.32 G,461.59 K,1.97 M
2019-06-14 19:50:42,21.77 G,318.33 G,445.42 K,1.91 M
2019-06-14 19:50:44,21.77 G,318.33 G,464.55 K,1.99 M
2019-06-14 19:50:46,21.77 G,318.34 G,470.54 K,2.03 M
2019-06-14 19:50:48,21.77 G,318.34 G,453.04 K,1.95 M
2019-06-14 19:50:50,21.77 G,318.34 G,477.84 K,2.14 M
2019-06-14 19:50:52,21.77 G,318.35 G,452.77 K,2.03 M
2019-06-14 19:50:55,21.77 G,318.35 G,468.20 K,2.09 M
2019-06-14 19:50:58,21.77 G,318.36 G,444.67 K,1.95 M
2019-06-14 19:51:00,21.78 G,318.36 G,476.30 K,2.09 M
2019-06-14 19:51:02,21.78 G,318.36 G,451.81 K,1.95 M
2019-06-14 19:51:05,21.78 G,318.37 G,468.38 K,2.06 M
2019-06-14 19:51:07,21.78 G,318.37 G,472.49 K,2.06 M
2019-06-14 19:51:09,21.78 G,318.38 G,453.68 K,1.97 M
