2019-06-08 20:15:51,3.39 M,180.28 M,0.00 B,1.75 K
2019-06-08 20:15:54,3.39 M,180.29 M,0.00 B,768.00 B
2019-06-08 20:15:56,3.39 M,180.29 M,0.00 B,648.00 B
2019-06-08 20:15:59,3.39 M,180.31 M,0.00 B,972.00 B
2019-06-08 20:16:01,3.39 M,180.33 M,1.16 K,13.59 K
2019-06-08 20:16:05,3.39 M,180.34 M,0.00 B,276.00 B
2019-06-08 20:16:07,3.40 M,180.34 M,528.00 B,4.27 K
2019-06-08 20:16:09,3.40 M,180.34 M,0.00 B,216.00 B
2019-06-08 20:16:11,3.40 M,180.70 M,5.74 K,370.67 K
2019-06-08 20:16:14,3.40 M,180.71 M,0.00 B,864.00 B
2019-06-08 20:16:16,3.40 M,180.71 M,462.00 B,1.80 K
2019-06-08 20:16:18,3.40 M,180.71 M,0.00 B,1.43 K
2019-06-08 20:16:20,3.40 M,180.71 M,0.00 B,864.00 B
2019-06-08 20:16:23,3.41 M,180.83 M,0.00 B,864.00 B
2019-06-08 20:16:25,3.41 M,180.83 M,277.00 B,919.00 B
2019-06-08 20:16:28,3.41 M,180.84 M,42.00 B,828.00 B
2019-06-08 20:16:30,3.41 M,180.85 M,84.00 B,504.00 B
2019-06-08 20:16:33,3.41 M,180.85 M,0.00 B,384.00 B
2019-06-08 20:16:35,3.41 M,180.85 M,655.00 B,2.62 K
2019-06-08 20:16:37,3.41 M,180.85 M,0.00 B,396.00 B
2019-06-08 20:16:39,3.41 M,180.85 M,0.00 B,516.00 B
2019-06-08 20:16:42,3.42 M,181.10 M,0.00 B,600.00 B
2019-06-08 20:16:44,3.43 M,181.62 M,9.04 K,532.92 K
2019-06-08 20:16:46,3.43 M,181.63 M,0.00 B,1.97 K
2019-06-08 20:16:48,3.43 M,181.84 M,3.54 K,216.77 K
2019-06-08 20:16:50,3.43 M,181.84 M,0.00 B,924.00 B
2019-06-08 20:16:52,3.43 M,181.84 M,0.00 B,1.32 K
2019-06-08 20:16:55,3.44 M,181.85 M,0.00 B,552.00 B
2019-06-08 20:16:57,3.44 M,181.89 M,1.35 K,42.16 K
2019-06-08 20:16:59,3.44 M,181.89 M,42.00 B,552.00 B
2019-06-08 20:17:02,3.44 M,182.07 M,3.22 K,166.58 K
2019-06-08 20:17:04,3.44 M,182.07 M,0.00 B,648.00 B
2019-06-08 20:17:06,3.45 M,182.07 M,594.00 B,2.14 K
2019-06-08 20:17:08,3.45 M,182.08 M,0.00 B,600.00 B
2019-06-08 20:17:10,3.45 M,182.08 M,96.00 B,564.00 B
2019-06-08 20:17:13,3.45 M,182.09 M,0.00 B,660.00 B
2019-06-08 20:17:15,3.45 M,182.09 M,0.00 B,768.00 B
2019-06-08 20:17:17,3.46 M,182.49 M,7.80 K,409.44 K
2019-06-08 20:17:20,3.46 M,182.49 M,0.00 B,924.00 B
2019-06-08 20:17:22,3.46 M,182.50 M,0.00 B,660.00 B
2019-06-08 20:17:25,3.46 M,182.57 M,0.00 B,384.00 B
2019-06-08 20:17:27,3.46 M,182.57 M,0.00 B,756.00 B
2019-06-08 20:17:30,3.46 M,182.68 M,0.00 B,600.00 B
2019-06-08 20:17:32,3.46 M,182.68 M,0.00 B,492.00 B
2019-06-08 20:17:35,3.47 M,182.68 M,0.00 B,108.00 B
2019-06-08 20:17:37,3.47 M,182.69 M,0.00 B,108.00 B
2019-06-08 20:17:40,3.47 M,182.69 M,0.00 B,552.00 B
2019-06-08 20:17:42,3.47 M,182.69 M,0.00 B,600.00 B
2019-06-08 20:17:44,3.47 M,182.70 M,2.22 K,3.92 K
2019-06-08 20:17:46,3.47 M,182.70 M,0.00 B,1.01 K
