2019-06-03 15:19:03,12.36 M,370.88 M,0.00 B,384.00 B
2019-06-03 15:19:05,12.36 M,370.88 M,0.00 B,1020.00 B
2019-06-03 15:19:07,12.36 M,370.88 M,0.00 B,876.00 B
2019-06-03 15:19:09,12.36 M,370.88 M,0.00 B,444.00 B
2019-06-03 15:19:12,12.36 M,370.90 M,0.00 B,699.00 B
2019-06-03 15:19:14,12.36 M,370.90 M,204.00 B,894.00 B
2019-06-03 15:19:16,12.36 M,370.90 M,42.00 B,936.00 B
2019-06-03 15:19:18,12.36 M,370.90 M,0.00 B,516.00 B
2019-06-03 15:19:20,12.37 M,370.91 M,193.00 B,1.03 K
2019-06-03 15:19:22,12.38 M,371.52 M,3.02 K,1.44 K
2019-06-03 15:19:24,12.38 M,371.52 M,0.00 B,1.07 K
2019-06-03 15:19:26,12.38 M,371.52 M,0.00 B,396.00 B
2019-06-03 15:19:28,12.38 M,371.53 M,0.00 B,924.00 B
2019-06-03 15:19:30,12.38 M,371.53 M,0.00 B,816.00 B
2019-06-03 15:19:32,12.39 M,372.13 M,4.01 K,113.43 K
2019-06-03 15:19:34,12.39 M,372.13 M,0.00 B,384.00 B
2019-06-03 15:19:36,12.39 M,372.13 M,0.00 B,888.00 B
2019-06-03 15:19:38,12.39 M,372.13 M,0.00 B,768.00 B
2019-06-03 15:19:40,12.39 M,372.13 M,0.00 B,1.35 K
2019-06-03 15:19:42,12.40 M,372.68 M,3.59 K,84.51 K
2019-06-03 15:19:44,12.40 M,372.68 M,0.00 B,1.23 K
2019-06-03 15:19:46,12.40 M,372.69 M,0.00 B,504.00 B
2019-06-03 15:19:48,12.40 M,372.69 M,42.00 B,1.20 K
2019-06-03 15:19:50,12.40 M,372.69 M,0.00 B,915.00 B
2019-06-03 15:19:52,12.41 M,373.24 M,0.00 B,816.00 B
2019-06-03 15:19:54,12.41 M,373.25 M,0.00 B,1.38 K
2019-06-03 15:19:56,12.41 M,373.25 M,0.00 B,708.00 B
2019-06-03 15:19:58,12.41 M,373.25 M,0.00 B,816.00 B
2019-06-03 15:20:00,12.41 M,373.25 M,0.00 B,708.00 B
2019-06-03 15:20:02,12.42 M,373.78 M,54.00 B,324.00 B
2019-06-03 15:20:04,12.42 M,373.78 M,0.00 B,324.00 B
2019-06-03 15:20:06,12.42 M,373.78 M,84.00 B,1.34 K
2019-06-03 15:20:08,12.42 M,373.78 M,0.00 B,324.00 B
2019-06-03 15:20:10,12.42 M,373.91 M,2.31 K,123.18 K
2019-06-03 15:20:12,12.42 M,373.91 M,0.00 B,1.22 K
2019-06-03 15:20:14,12.42 M,373.91 M,0.00 B,432.00 B
2019-06-03 15:20:16,12.42 M,373.91 M,0.00 B,996.00 B
2019-06-03 15:20:18,12.42 M,373.91 M,0.00 B,951.00 B
2019-06-03 15:20:20,12.42 M,373.92 M,600.00 B,1.81 K
2019-06-03 15:20:22,12.43 M,373.92 M,0.00 B,552.00 B
2019-06-03 15:20:24,12.43 M,373.92 M,0.00 B,1.32 K
2019-06-03 15:20:26,12.43 M,373.92 M,0.00 B,579.00 B
2019-06-03 15:20:28,12.43 M,373.92 M,0.00 B,612.00 B
2019-06-03 15:20:32,12.43 M,373.93 M,0.00 B,600.00 B
2019-06-03 15:20:34,12.43 M,373.93 M,0.00 B,747.00 B
2019-06-03 15:20:36,12.43 M,373.93 M,0.00 B,1.05 K
2019-06-03 15:20:38,12.43 M,373.93 M,0.00 B,708.00 B
2019-06-03 15:20:41,12.43 M,373.94 M,0.00 B,816.00 B
2019-06-03 15:20:43,12.43 M,373.94 M,0.00 B,168.00 B
2019-06-03 15:20:45,12.43 M,373.94 M,0.00 B,600.00 B
2019-06-03 15:20:47,12.43 M,373.94 M,0.00 B,816.00 B
2019-06-03 15:20:49,12.43 M,373.94 M,2.16 K,3.05 K
2019-06-03 15:20:51,12.43 M,373.95 M,0.00 B,1.23 K
2019-06-03 15:20:53,12.43 M,373.95 M,0.00 B,816.00 B
2019-06-03 15:20:55,12.43 M,373.95 M,0.00 B,648.00 B
2019-06-03 15:20:57,12.43 M,373.95 M,0.00 B,903.00 B
2019-06-03 15:20:59,12.43 M,373.95 M,0.00 B,600.00 B
2019-06-03 15:21:01,12.43 M,373.97 M,0.00 B,13.01 K
2019-06-03 15:21:03,12.43 M,373.97 M,0.00 B,336.00 B
2019-06-03 15:21:05,12.43 M,373.97 M,0.00 B,1.37 K
2019-06-03 15:21:07,12.44 M,373.97 M,2.16 K,2.68 K
2019-06-03 15:21:09,12.44 M,373.98 M,0.00 B,1.12 K
2019-06-03 15:21:11,12.44 M,373.98 M,0.00 B,924.00 B
2019-06-03 15:21:13,12.44 M,373.98 M,0.00 B,324.00 B
2019-06-03 15:21:15,12.44 M,373.98 M,2.25 K,3.09 K
2019-06-03 15:21:17,12.44 M,373.98 M,204.00 B,870.00 B
2019-06-03 15:21:19,12.44 M,373.99 M,42.00 B,888.00 B
2019-06-03 15:21:21,12.44 M,373.99 M,0.00 B,627.00 B
2019-06-03 15:21:23,12.44 M,373.99 M,2.16 K,3.49 K
2019-06-03 15:21:25,12.44 M,373.99 M,0.00 B,1.05 K
2019-06-03 15:21:27,12.44 M,373.99 M,0.00 B,660.00 B
2019-06-03 15:21:29,12.44 M,374.00 M,0.00 B,708.00 B
2019-06-03 15:21:31,12.44 M,374.00 M,0.00 B,384.00 B
2019-06-03 15:21:33,12.44 M,374.00 M,0.00 B,708.00 B
2019-06-03 15:21:35,12.44 M,374.00 M,0.00 B,552.00 B
2019-06-03 15:21:37,12.44 M,374.00 M,0.00 B,1.14 K
2019-06-03 15:21:39,12.44 M,374.00 M,0.00 B,1.39 K
2019-06-03 15:21:41,12.44 M,374.01 M,2.17 K,2.99 K
2019-06-03 15:21:43,12.44 M,374.01 M,0.00 B,444.00 B
2019-06-03 15:21:45,12.44 M,374.01 M,0.00 B,888.00 B
2019-06-03 15:21:47,12.44 M,374.01 M,0.00 B,324.00 B
2019-06-03 15:21:49,12.44 M,374.01 M,0.00 B,1.16 K
2019-06-03 15:21:51,12.45 M,374.02 M,42.00 B,1.01 K
2019-06-03 15:21:53,12.45 M,374.02 M,0.00 B,492.00 B
2019-06-03 15:21:55,12.45 M,374.02 M,0.00 B,795.00 B
2019-06-03 15:21:57,12.45 M,374.02 M,0.00 B,1.23 K
2019-06-03 15:21:59,12.45 M,374.03 M,0.00 B,735.00 B
